year	quarter	url
2012	Q1	https://data.sfgov.org/resource/v5p2-emnu.json
2012	Q2	https://data.sfgov.org/resource/ugxk-ztb8.json
2012	Q4	https://data.sfgov.org/resource/b2bw-u33d.json
2013	Q1	https://data.sfgov.org/resource/bime-puj8.json
2013	Q2	https://data.sfgov.org/resource/evrp-pcmc.json
2013	Q3	https://data.sfgov.org/resource/hxup-t2n6.json
2013	Q4	https://data.sfgov.org/resource/ep85-j8df.json
2014	Q1	https://data.sfgov.org/resource/g383-7xmf.json
2014	Q2	https://data.sfgov.org/resource/fv2q-qaux.json
2014	Q3	https://data.sfgov.org/resource/n5ik-nmm3.json
2014	Q4	https://data.sfgov.org/resource/858q-nwrm.json
2015	Q1	https://data.sfgov.org/resource/2cma-9y6y.json
2015	Q2	https://data.sfgov.org/resource/w3e8-bxrm.json
2015	Q3	https://data.sfgov.org/resource/apz9-dh7k.json
2015	Q4	https://data.sfgov.org/resource/ra2x-jzmk.json
2016	Q1	https://data.sfgov.org/resource/dtz9-jkjt.json
2016	Q2	https://data.sfgov.org/resource/g5sr-9nhs.json
2016	Q3	https://data.sfgov.org/resource/k7mk-w2pq.json
2016	Q4	https://data.sfgov.org/resource/d7xx-7z6v.json
2017	Q1	https://data.sfgov.org/resource/7qzr-p6xn.json
2017	Q2	https://data.sfgov.org/resource/49cy-x5m5.json
2017	Q3	https://data.sfgov.org/resource/ua32-eewd.json
2017	Q4	https://data.sfgov.org/resource/tcek-yifh.json
2018	Q1	https://data.sfgov.org/resource/dg6z-zdpi.json
2018	Q2	https://data.sfgov.org/resource/eduu-fkrk.json
2018	Q4	https://data.sfgov.org/resource/9kr6-dynr.json
2019	Q1	https://data.sfgov.org/resource/55nt-hnr5.json
2019	Q2	https://data.sfgov.org/resource/33nh-56zb.json
2019	Q3	https://data.sfgov.org/resource/7yx4-u2y9.json
2019	Q4	https://data.sfgov.org/resource/pm3p-32gh.json
2020	Q1	https://data.sfgov.org/resource/5s89-azqa.json
2020	Q2	https://data.sfgov.org/resource/mm2x-xj5y.json
2020	Q3	https://data.sfgov.org/resource/nrtx-srqj.json
